Date_Str    Date   Weight   Food    Exercise
01/01/22    001    249.9    1203    000
01/02/22    002    249.6    1437    622
01/03/22    003    247.4    1954    617
01/04/22    004    247.0    1582    392
01/05/22    005    244.8    1927    739
01/06/22    006    242.8    1427    550
01/07/22    007    243.8    2866    506
01/08/22    008    245.6    1750    668
01/09/22    009    245.4    3071    500
01/10/22    010    245.6    1375    534
01/11/22    011    243.8    1825    569
01/12/22    012    242.6    1014    330
01/13/22    013    242.4    3175    636
01/14/22    014    243.0    1834    529
01/15/22    015    242.6    3727    137
01/16/22    016    243.2    1859    275
01/17/22    017    242.4    1339    714
01/18/22    018    241.2    1119    547
01/19/22    019    241.2    1730    562
01/20/22    020    240.6    1242    518
01/21/22    021    239.0    2060    163
01/22/22    022    240.2    3393    407
01/23/22    023    242.0    1322    000
01/24/22    024    239.8    1339    571
01/25/22    025    239.4    1390    054
01/26/22    026    236.8    1244    724
01/27/22    027    236.6    1559    589
01/28/22    028    234.8    1073    851
01/29/22    029    234.2    1788    556
01/30/22    030    236.5    1029    050
01/31/22    031    235.8    2359    694
02/01/22    032    237.0    1367    752
02/02/22    033    236.0    2013    534
02/03/22    034    235.0    1541    804
02/04/22    035    234.4    1881    561
02/05/22    036    232.5*   2098   1461
02/06/22    037    231.8*   2986    796
02/07/22    038    232.2*   1652    398
02/08/22    039    234.2    1158    044
02/09/22    040    233.4    1322    088
02/10/22    041    232.8    1531    318
02/11/22    042    231.4    1027    527
02/12/22    043    229.2    1721    629
02/13/22    044    229.6    4111    195
02/14/22    045    235.8    2295    132
02/15/22    046    234.8    1552    638
02/16/22    047    231.6    1517    683
02/17/22    048    229.2    2061    858
02/18/22    049    229.4    2626    390
02/19/22    050    231.2    1672    349
02/20/22    051    231.4    2389    504
02/21/22    052    234.0    1536    742
02/22/22    053    233.0    1440    634
02/23/22    054    231.6    1766    708
02/24/22    055    230.2    1658    678
02/25/22    056    229.8    3299    886
02/26/22    057    231.8    1995    928
02/27/22    058    233.4    1984    344
02/28/22    059    228.0    1776    801
03/01/22    060    228.4    1760    751
03/02/22    061    230.4    1916   1018
03/03/22    062    229.0    1805    389
03/04/22    063    229.0    1970   1297
03/05/22    064    228.8    1831   1011
03/06/22    065    229.4    2570   1035
03/07/22    066    228.3    2429    454
03/08/22    067    229.1    2052    571
03/09/22    068    228.3*   2333   1103
03/10/22    069    228.0*   2549    583
03/11/22    070    228.8    2828    777
03/12/22    071    229.7    2534    390
03/13/22    072    229.0*   1084    195
03/14/22    073    230.2    2127    821
03/15/22    074    229.8    2263    917
03/16/22    075    229.2    2053   1189
03/17/22    076    229.4    2430    992
03/18/22    077    226.8    3329    746
03/19/22    078    229.8    1964    416
03/20/22    079    228.3    2571    363
03/21/22    080    229.2    1124   1565
03/22/22    081    227.4    1540    798
03/23/22    082    226.6    1639   1642
03/24/22    083    224.8    1392    868
03/25/22    084    224.8    3376    382
03/26/22    085    226.9*   3512    622
03/27/22    086    226.6*   3152    881
03/28/22    087    225.9*    872   1037
03/29/22    088    225.4    1354   1329
03/30/22    089    225.2    2847    952
03/31/22    090    225.7    2019   1494
04/01/22    091    225.5    3571    869
04/02/22    092    229.4    2505    572
04/03/22    093    228.5    2299    622
04/04/22    094    227.2    2109   1029
04/05/22    095    224.6    1582    836
04/06/22    096    224.2    1170    698
04/07/22    097    WWWWW    CCCC    EEE
04/08/22    098    WWWWW    CCCC    EEE
